id,codigo,nombre,Peso[Kg],unidad,precio público sin IVA,precio mínimo de venta,precio mayoreo sin IVA,precio distribuidor sin IVA,Precio Medio Mayoreo sin IVA,Marca,Codigo SAT,ean,Volumen[cm3],,Familia,Descripción Familia
18096,COBI-1-3/4,"Brocasierra bimetálica 1-3/4', TRUPER EXPERT",0.116,Pieza,171.55,129,145.69,111.21,159.48,Expert,23242113,7.50121E+12,311.456,,P506,Brocasierras bimetálicas
18097,COBI-2,"Brocasierra bimetálica 2', TRUPER EXPERT",0.135,Pieza,185.34,135,150.86,116.38,168.1,Expert,23242113,7.50121E+12,495.72,,P506,Brocasierras bimetálicas
18098,COBI-2-1/8,"Brocasierra bimetálica 2-1/8', TRUPER EXPERT",0.15,Pieza,188.79,139,154.31,119.83,171.55,Expert,23242113,7.50121E+12,520.536,,P506,Brocasierras bimetálicas
18099,COBI-2-1/4,"Brocasierra bimetálica 2-1/4', TRUPER EXPERT",0.175,Pieza,197.41,145,162.93,125,180.17,Expert,23242113,7.50121E+12,522.732,,P506,Brocasierras bimetálicas
18100,SBI-18,"Segueta bimetálica de 12', 18 DPP, TRUPER EXPERT",0.019,Pieza,24.14,19,19.83,16.38,21.55,Expert,27111500,7.50121E+12,7.369,,P193,Seguetas para arco
18101,SBI-24,"Segueta bimetálica de 12', 24 DPP, TRUPER EXPERT",0.02,Pieza,24.14,19,19.83,16.38,21.55,Expert,27111500,7.50121E+12,7.369,,P193,Seguetas para arco
18118,COBI-2-3/8,"Brocasierra bimetálica 2-3/8', TRUPER EXPERT",0.181,Pieza,211.21,155,171.55,133.62,188.79,Expert,23242113,7.50121E+12,773.441,,P506,Brocasierras bimetálicas
18120,COBI-2-3/4,"Brocasierra bimetálica 2-3/4', TRUPER EXPERT",0.234,Pieza,237.07,175,197.41,150.86,214.66,Expert,23242113,7.50121E+12,773.656,,P506,Brocasierras bimetálicas
18122,MAND-3/8,"Mandril zanco 3/8' para brocasierras bimetálicas, EXPERT",0.08,Pieza,87.93,65,73.28,56.03,80.17,Expert,23242113,7.50121E+12,303.924,,P506,Brocasierras bimetálicas
18123,MAND-7/16,"Mandril zanco 7/16' para brocasierras bimetálicas, EXPERT",0.219,Pieza,133.62,99,111.21,85.34,119.83,Expert,23242113,7.50121E+12,461.993,,P506,Brocasierras bimetálicas
18144,MAN-CAZ-3/8C,"Mandril para brocasierra diamante sin rosca 3/8', TRUPER",0.075,Pieza,*,35,42.24,30.17,45.69,Truper,27111536,7.50121E+12,245.089,,P126,Brocasierras diamante
18145,SOPLA-960,"Sopladora eléctrica de 960 W, TRUPER",2.165,Pieza,905.17,725,745.69,625,823.28,Truper,27112000,7.50624E+12,22545.966,,P570,Sopladoras
18148,MAN-SOPLA-26,"Manguera para sopladora a gasolina SOPLA-26, TRUPER",0.16,Pieza,128.45,89,107.76,76.72,116.38,Truper,23101500,7.50624E+12,2933.175,,P629,Refacciones para sopladoras
18149,EXT-SOPLA-26,"Extensión trasera para sopladora a gasolina SOPLA-26, TRUPER",0.13,Pieza,99.14,69,82.76,59.48,90.52,Truper,23101500,7.50624E+12,2522.85,,P629,Refacciones para sopladoras
18150,EXD-SOPLA-26,Extensión delantera para sopladora a gasolina SOPLA-26,0.15,Pieza,99.14,69,82.76,59.48,90.52,Truper,23101500,7.50624E+12,3660.3,,P629,Refacciones para sopladoras
18151,BOQ-CU-SOPLA-26,"Boquilla curva para sopladora a gasolina SOPLA-26, TRUPER",0.16,Pieza,125,85,102.59,73.28,111.21,Truper,23101500,7.50624E+12,4428.359,,P629,Refacciones para sopladoras
18152,BOQ-SOPLA-26,"Boquilla recta para sopladora a gasolina SOPLA-26, TRUPER",0.12,Pieza,107.76,75,90.52,64.66,99.14,Truper,23101500,7.50624E+12,1981.021,,P629,Refacciones para sopladoras
18156,ERGO-4580,"Esmeriladora angular 4-1/2', 850W, TRUPER ERGO PRO",2.385,Pieza,711.21,625,590.52,538.79,650.86,Truper,23151604,7.50624E+12,5466.563,,P097,Máquinas portátiles con cable
18160,STX-22,"Serrucho 22' Selecto, 7 DPP, TRUPER",0.615,Pieza,188.79,139,154.31,119.83,171.55,Truper,27111508,7.50121E+12,2901.6,,P128,Serruchos
18161,STX-24,"Serrucho 24' Selecto, 6 DPP, TRUPER",0.63,Pieza,197.41,145,162.93,125,180.17,Truper,27111508,7.50121E+12,3377.114,,P128,Serruchos
18162,STX-26,"Serrucho 26' Selecto, 6 DPP, TRUPER",0.72,Pieza,211.21,155,171.55,133.62,188.79,Truper,27111508,7.50121E+12,3276.032,,P128,Serruchos
18163,STX-28,"Serrucho 28', Selecto, 5 DPP, TRUPER",0.725,Pieza,223.28,165,185.34,142.24,202.59,Truper,27111508,7.50121E+12,3556.8,,P128,Serruchos
18164,STCX-10,"Serrucho tipo marquetero 10', 12 DPP, TRUPER",0.28,Pieza,100.86,75,83.62,64.66,92.24,Truper,27111508,7.50121E+12,746.55,,P128,Serruchos
18166,STCX-14,"Serrucho de costilla 14' Diamante, 12 DPP, TRUPER",0.501,Pieza,154.31,115,128.45,99.14,142.24,Truper,27111508,7.50121E+12,1776.575,,P128,Serruchos
18167,STD-18,"Serrucho 18' Dorado, 9 DPP, TRUPER",0.45,Pieza,128.45,95,107.76,81.9,116.38,Truper,27111508,7.50121E+12,1930.53,,P128,Serruchos
18168,STD-20,"Serrucho 20' Dorado, 8 DPP, TRUPER",0.453,Pieza,133.62,99,111.21,85.34,119.83,Truper,27111508,7.50121E+12,2338.234,,P128,Serruchos
18169,STD-22,"Serrucho 22' Dorado, 7 DPP, TRUPER",0.51,Pieza,142.24,105,116.38,90.52,128.45,Truper,27111508,7.50121E+12,2524.032,,P128,Serruchos
18170,STD-24,"Serrucho 24' Dorado, 6 DPP, TRUPER",0.52,Pieza,154.31,115,128.45,99.14,142.24,Truper,27111508,7.50121E+12,2740.992,,P128,Serruchos
18171,STP-12,"Serrucho de poda 12',hoja curva,6 DPP, mango madera, TRUPER",0.276,Pieza,159.48,119,133.62,102.59,145.69,Truper,27111508,7.50121E+12,1690.5,,P216,Serruchos jardineros
18172,STP-14,"Serrucho de poda 14',hoja curva,6 DPP, mango madera, TRUPER",0.282,Pieza,171.55,129,145.69,111.21,159.48,Truper,27112019,7.50121E+12,1804.071,,P216,Serruchos jardineros
18174,STP-6X,"Serrucho de 6' para plafón y muros de yeso, TRUPER",0.179,Pieza,185.34,135,150.86,116.38,168.1,Truper,27112019,7.50121E+12,667.945,,P729,Productos para panel de yeso
18175,TOR-SER-10,"Bolsa c/10 tornillos p/serruchos Selecto, Dorado y Diamante",0.125,Juego,56.03,39,47.41,33.62,50.86,Truper,27111508,7.50121E+12,139.031,,P128,Serruchos
18215,JGO-PM-3,"Juego de 3 mini pinzas mango Comfort Grip, TRUPER",0.255,Set,237.07,189,195.69,162.93,214.66,Truper,27112105,7.50121E+12,1441.44,,P108,Pinzas
18229,METE-500,"Medidor infrarrojo de temperatura de -50°C a 500°C, TRUPER",0.215,Pieza,487.07,425,400.86,366.38,443.97,Truper,41111615,7.50624E+12,2029.05,,P770,"Niveles láser, medidores y detectores"
18235,JD-1/4X45P,Juego de 45 herramientas cuadro 1/4' std para mecánico,2.095,Juego,1495.69,1300,1237.07,1120.69,1357.76,Truper,27112700,7.50121E+12,4775.588,,P791,"Juegos para mecánico, TRUPER"
18238,FIRE-1/4,"Filtro y regulador, presión de aire, cuerda 1/4' NPT, TRUPER",0.602,Pieza,478.45,355,392.24,306.03,435.34,Truper,27131600,7.50121E+12,1567.48,,P229,Accesorios neumáticos
18270,GRANEU-1/4-13,"Caja con 5000 grapas corona 1/4' calibre 18, 13mm p/ENNE-120",1.161,Caja,150.86,110,125,94.83,137.07,Truper,27112120,7.50121E+12,610.426,,P786,Grapas y clavos para engrapadoras y clavadoras neumáticas
18271,GRANEU-1/4-16,"Caja con 5000 grapas corona 1/4' calibre 18, 16mm p/ENNE-120",1.345,Caja,185.34,135,150.86,116.38,168.1,Truper,27112120,7.50121E+12,759,,P786,Grapas y clavos para engrapadoras y clavadoras neumáticas
18272,GRANEU-1/4-19,"Caja con 5000 grapas corona 1/4' calibre 18, 19mm p/ENNE-120",1.618,Caja,211.21,155,171.55,133.62,188.79,Truper,27112120,7.50121E+12,819.702,,P786,Grapas y clavos para engrapadoras y clavadoras neumáticas
18273,GRANEU-1/4-22,"Caja con 5000 grapas corona 1/4' calibre 18, 22mm p/ENNE-120",1.88,Caja,237.07,175,197.41,150.86,214.66,Truper,27112120,7.50121E+12,931.5,,P786,Grapas y clavos para engrapadoras y clavadoras neumáticas
18274,GRANEU-1/4-25,"Caja con 5000 grapas corona 1/4' calibre 18, 25mm p/ENNE-120",2.068,Caja,249.14,185,206.03,159.48,228.45,Truper,27112120,7.50121E+12,1088.1,,P786,Grapas y clavos para engrapadoras y clavadoras neumáticas
18275,GRANEU-1/4-28,"Caja con 5000 grapas corona 1/4' calibre 18, 28mm p/ENNE-120",2.31,Caja,262.93,195,219.83,168.1,240.52,Truper,27112120,7.50121E+12,1168.2,,P786,Grapas y clavos para engrapadoras y clavadoras neumáticas
18276,GRANEU-1/4-32,"Caja con 5000 grapas corona 1/4' calibre 18, 32mm p/ENNE-120",2.68,Caja,331.9,245,275,211.21,297.41,Truper,27112120,7.50121E+12,1293.75,,P786,Grapas y clavos para engrapadoras y clavadoras neumáticas
18277,GRANEU-1/4-35,"Caja con 5000 grapas corona 1/4' calibre 18, 35mm p/ENNE-120",2.892,Caja,357.76,265,297.41,228.45,323.28,Truper,27112120,7.50121E+12,1400.7,,P786,Grapas y clavos para engrapadoras y clavadoras neumáticas
18278,GRANEU-1/4-38,"Caja con 5000 grapas corona 1/4' calibre 18, 38mm p/ENNE-120",3.193,Caja,383.62,285,314.66,245.69,349.14,Truper,27112120,7.50121E+12,1408.313,,P786,Grapas y clavos para engrapadoras y clavadoras neumáticas
18279,GRANEU-1/4-40,"Caja con 5000 grapas corona 1/4' calibre 18, 40mm p/ENNE-120",3.33,Caja,400.86,295,331.9,254.31,357.76,Truper,27112120,7.50121E+12,1509.088,,P786,Grapas y clavos para engrapadoras y clavadoras neumáticas
18281,TPN-734H-2K,"Kit de llave (pistola) de impacto 1/2' ind, estuche plástico",5.18,Set,2366.38,1890,1939.66,1629.31,2150.86,Truper,27131501,7.50624E+12,13436.596,,P212,Herramientas neumáticas
18282,GRANEU-3/8-6,"Caja con 5000 grapas corona 3/8' calibre 22, 6mm p/ENNE-70",0.289,Caja,47.41,35,38.79,30.17,43.1,Truper,27112120,7.50624E+12,293.664,,P786,Grapas y clavos para engrapadoras y clavadoras neumáticas
18284,GRANEU-3/8-10,"Caja con 5000 grapas corona 3/8' calibre 22, 10mm p/ENNE-70",0.392,Caja,66.38,49,55.17,42.24,59.48,Truper,27112120,7.50624E+12,455.7,,P786,Grapas y clavos para engrapadoras y clavadoras neumáticas
