CIDEXISTENCIA,CIDALMACEN,CIDPRODUCTO,CIDEJERCICIO,CTIPOEXISTENCIA,CENTRADASINICIALES,CSALIDASINICIALES,CCOSTOINICIALENTRADAS,CCOSTOINICIALSALIDAS,CENTRADASPERIODO1,CENTRADASPERIODO2,CENTRADASPERIODO3,CENTRADASPERIODO4,CENTRADASPERIODO5,CENTRADASPERIODO6,CENTRADASPERIODO7,CENTRADASPERIODO8,CENTRADASPERIODO9,CENTRADASPERIODO10,CENTRADASPERIODO11,CENTRADASPERIODO12,CSALIDASPERIODO1,CSALIDASPERIODO2,CSALIDASPERIODO3,CSALIDASPERIODO4,CSALIDASPERIODO5,CSALIDASPERIODO6,CSALIDASPERIODO7,CSALIDASPERIODO8,CSALIDASPERIODO9,CSALIDASPERIODO10,CSALIDASPERIODO11,CSALIDASPERIODO12,CCOSTOENTRADASPERIODO1,CCOSTOENTRADASPERIODO2,CCOSTOENTRADASPERIODO3,CCOSTOENTRADASPERIODO4,CCOSTOENTRADASPERIODO5,CCOSTOENTRADASPERIODO6,CCOSTOENTRADASPERIODO7,CCOSTOENTRADASPERIODO8,CCOSTOENTRADASPERIODO9,CCOSTOENTRADASPERIODO10,CCOSTOENTRADASPERIODO11,CCOSTOENTRADASPERIODO12,CCOSTOSALIDASPERIODO1,CCOSTOSALIDASPERIODO2,CCOSTOSALIDASPERIODO3,CCOSTOSALIDASPERIODO4,CCOSTOSALIDASPERIODO5,CCOSTOSALIDASPERIODO6,CCOSTOSALIDASPERIODO7,CCOSTOSALIDASPERIODO8,CCOSTOSALIDASPERIODO9,CCOSTOSALIDASPERIODO10,CCOSTOSALIDASPERIODO11,CCOSTOSALIDASPERIODO12,CBANCONGELADO,CTIMESTAMP
135396,1,8849,9,1,15,15,5565.02,5545,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,5565.02,5565.02,5565.02,5565.02,5565.02,5565.02,5565.02,5565.02,5565.02,5565.02,5565.02,5565.02,5545,5545,5545,5545,5545,5545,5545,5545,5545,5545,5545,5545,0,
135397,1,8850,9,1,139,122,6727.89,6019.76,139,139,139,139,139,139,139,139,139,139,139,139,122,122,122,122,122,122,122,122,122,122,122,122,6727.89,6727.89,6727.89,6727.89,6727.89,6727.89,6727.89,6727.89,6727.89,6727.89,6727.89,6727.89,6019.76,6019.76,6019.76,6019.76,6019.76,6019.76,6019.76,6019.76,6019.76,6019.76,6019.76,6019.76,0,
135398,1,8851,9,1,20,18,2978,2626.23,20,20,20,20,20,20,20,20,20,20,20,20,18,18,18,18,18,18,18,18,18,18,18,18,2978,2978,2978,2978,2978,2978,2978,2978,2978,2978,2978,2978,2626.23,2626.23,2626.23,2626.23,2626.23,2626.23,2626.23,2626.23,2626.23,2626.23,2626.23,2626.23,0,
135399,1,8852,9,1,18,18,819,819,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,819,819,819,819,819,819,819,819,819,819,819,819,819,819,819,819,819,819,819,819,819,819,819,819,0,
135400,1,8853,9,1,10,10,1520,1520,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,0,
135401,4,5888,9,1,3,3,107.16,107.16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,107.16,107.16,107.16,107.16,107.16,107.16,107.16,107.16,107.16,107.16,107.16,107.16,107.16,107.16,107.16,107.16,107.16,107.16,107.16,107.16,107.16,107.16,107.16,107.16,0,
135402,3,8838,9,1,3,3,237.51,237.51,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,237.51,237.51,237.51,237.51,237.51,237.51,237.51,237.51,237.51,237.51,237.51,237.51,237.51,237.51,237.51,237.51,237.51,237.51,237.51,237.51,237.51,237.51,237.51,237.51,0,
135403,3,8839,9,1,8,8,126.72,126.72,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,126.72,126.72,126.72,126.72,126.72,126.72,126.72,126.72,126.72,126.72,126.72,126.72,126.72,126.72,126.72,126.72,126.72,126.72,126.72,126.72,126.72,126.72,126.72,126.72,0,
135404,3,8853,9,1,7,7,1064,1064,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,0,
135405,3,8851,9,1,3,0,405,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,405,405,405,405,405,405,405,405,405,405,405,405,0,0,0,0,0,0,0,0,0,0,0,0,0,
135406,3,8850,9,1,23,18,1089.45,898.57,23,23,23,23,23,23,23,23,23,23,23,23,18,18,18,18,18,18,18,18,18,18,18,18,1089.45,1089.45,1089.45,1089.45,1089.45,1089.45,1089.45,1089.45,1089.45,1089.45,1089.45,1089.45,898.57,898.57,898.57,898.57,898.57,898.57,898.57,898.57,898.57,898.57,898.57,898.57,0,
135407,3,8849,9,1,8,8,2916,2936.01,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2916,2916,2916,2916,2916,2916,2916,2916,2916,2916,2916,2916,2936.01,2936.01,2936.01,2936.01,2936.01,2936.01,2936.01,2936.01,2936.01,2936.01,2936.01,2936.01,0,
135408,3,8847,9,1,15,0,564.29,0,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,564.29,564.29,564.29,564.29,564.29,564.29,564.29,564.29,564.29,564.29,564.29,564.29,0,0,0,0,0,0,0,0,0,0,0,0,0,
